rarad,decrad,mag,ci
0.173637607983,1.43978776419,6.38,0.551
0.173946760961,-0.781842796869,6,1.142
0.174210802307,0.374172325572,5.36,1.16
0.174371785116,-0.592739107943,6.68,0.519
0.174494761626,1.34165440629,6.73,1.199
0.176363429947,-1.03767859999,5.89,0.564
0.176611423145,-0.288270378084,6.49,0.91
0.176744881331,0.98676257631,2.24,1.17
0.176916353247,-0.415473464772,6.14,0.718
0.17695733622,-0.513490859691,6.75,0.996
0.17761431838,-0.0759539482589,5.9,1.091
0.179418898407,0.688683604888,5.3,0.891
0.179759830464,0.16327655595,6.52,0.528
0.179821489141,0.9110211286,6.74,0.072
0.180318627179,-0.804335102882,4.59,0.953
0.181402845652,-0.439762988232,6.55,1.244
0.181516882651,0.429857288344,6.06,0.298
0.182267240271,-0.986133986114,5.72,0.131
0.183509008696,1.1544932763,5.83,1.042
0.183542561629,0.881609886111,4.8,-0.105
0.1843184893,-0.206033839792,6.78,1.348
0.185319690411,-1.14263267764,5.38,0.515
0.185515883456,1.02544046069,6.18,-0.004
0.186298885621,-1.05178440687,5.99,1.318
0.186378720629,-0.671314412132,6.05,-0.024
0.1869497409,-0.173166178844,6.63,0.529
0.187095738616,0.290814862529,6.56,1.181
0.189167583107,-1.00291959247,4.36,0.024
0.189664667832,0.820733159628,4.95,0.17
0.19019464223,-0.313925470403,2.04,1.019
0.191265399366,-0.209645678397,6.01,1.107
0.192204328099,1.23610196277,6.75,0.921
0.192815348748,-0.185171586926,4.77,0.998
0.192863206884,-0.67058491761,5.9,1.144
0.193891755909,0.835384108277,5.66,-0.113
0.194283044171,-1.09078873117,6.06,0.446
0.194557377621,-1.36279127759,6.61,1.079
0.194832297155,-1.14580031565,6.55,0.655
0.195150533673,0.84272112975,4.48,-0.069
0.195214986232,-0.38407951452,5.22,0.35
0.196136591968,-0.744846458101,5.94,0.297
0.196338693895,-0.937501773673,6.15,0.524
0.19652441031,1.09133001213,6.62,1.33
0.197599408359,0.963795171471,5.41,0.022
0.198104006099,-0.0807940808419,6.15,1.652
0.198435814916,-0.224812537192,6.15,0.603
0.199193158652,1.30878877267,5.64,0.078
0.199382567751,-0.286656712497,6.47,0.314
0.199661395803,-0.829938707875,5.8,0.635
0.20149893231,0.782980830559,6.03,-0.063
0.201566927915,-0.39308474566,5.49,0.978
0.201807228849,0.965260984195,6.51,0.181
0.203109694696,0.270098505135,5.36,1.559
0.203500126825,1.20995663147,6.39,0.424
0.203800831139,1.03977185567,6.41,1.081
0.205182199533,0.208983093168,5.51,0.987
0.206066883884,0.341712819525,6.11,0.27
0.206554707702,0.423542155128,4.08,1.1
0.206794737714,0.117651883759,5.98,0.941
0.208219186272,-0.315229832711,5.7,1.3
0.208423470591,1.30633658302,5.42,-0.066
0.209062940209,0.365216181411,6.51,0.521
0.209516989106,-0.379129009705,5.57,-0.058
0.210090624138,1.2684089867,5.86,1.01
0.21070556763,0.127407778656,5.92,1.104
0.211110318964,0.0921641160815,5.74,0.89
0.211999052928,-1.30766067135,5.09,1.345
0.212417029898,0.132384604578,4.44,1.5
0.2124403218,-0.497339095075,6.78,0.348
0.213076409514,0.889562338424,4.9,-0.091
0.213565075032,-0.815027703215,6.28,0.897
0.213708900159,0.295670010159,5.07,0.502
0.214219875508,1.00906537698,3.46,0.587
0.21481684137,-0.421264391152,5.9,0.944
0.215665531807,-0.236688886435,5.59,1.325
0.21623397234,-0.407746328533,6.27,0.132
0.216509922639,0.833637796168,6.66,0.277
0.217354793113,0.716962246297,4.53,-0.136
0.21766868213,0.483635731304,5.55,0.398
0.217799264048,-0.00391194851914,6.64,1.37
0.218439888717,-0.757384250514,6.49,0.286
0.21871835623,-0.185778528698,5.17,0.514
0.219493267815,0.785437564979,6.13,0.043
0.221159744111,-0.889887807045,5.24,0.356
0.221336079759,1.12133127489,5.35,0.528
0.222244913801,1.36054570156,6.76,0.274
0.222336526853,0.898984757214,6.38,0.307
0.223720977885,1.07870935867,6.04,1.88
0.223862039781,0.059079743315,6.39,1.069
0.224986686252,0.900091193064,6.22,0.032
0.225066489286,0.223136337855,6.7,0.339
0.228675616625,-1.21306951955,6.67,0.518
0.229846967159,-0.418981017496,5.47,1.275
0.230657591277,0.702417699598,6.76,0.595
0.230774375102,0.672804027425,6.7,0.028
0.231292069314,-0.0199711070413,4.78,1.55
0.231564421269,1.06681452473,4.8,0.54
0.232161848591,-0.432438060273,6.44,0.439
0.233308464238,0.653070953075,6.07,1.139
0.233945068948,0.514685467146,6.7,0.872
0.234006629985,-1.09731209043,5.73,1.574
0.234261955332,-0.0789864169889,6.53,0.991
0.234715576226,0.919601648882,6.27,0.191
0.236898830312,-0.152553323219,6.15,0.911
0.238181186754,0.334901061781,5.8,-0.016
0.239459154114,1.46097035667,5.59,0.105
0.239844586249,0.412392244442,5.46,1.012
0.239952554041,-1.29682075435,6.68,0.987
0.239995439341,1.02926774188,4.83,1.216
0.240004876976,-1.21347653796,5.45,1.095
0.240361687678,0.849600449611,6.28,1.681
0.240849044942,-0.8273901777,6.73,0.5
0.241049691322,0.428601584558,6.19,1.546
0.243066197476,-0.128231938318,5.88,1.52
0.243834062705,-0.928384981933,6.61,1.093
0.244021455028,-0.484779850348,6.11,1.674
0.244237787091,0.474893283451,6.08,0.133
0.244454478536,-0.196637978794,5.35,1.505
0.245009398976,0.243507647675,6.46,0.962
0.245287929479,1.01223087608,6.2,1.376
0.246577255201,0.750121335514,6.53,1.028
0.247251813494,1.03290427405,4.62,0.957
0.247437951104,1.05970702895,2.15,-0.046
0.24763217011,0.671940321948,3.86,0.13
0.247760899068,1.05353023365,5.56,-0.054
0.248349142885,1.20036165714,6.39,0.375
0.249611333345,0.40871506008,4.4,0.94
0.250132415272,1.07201430562,6.44,0.94
0.251592295238,0.800048085747,6.1,1.028
0.252356532984,0.506009638387,5.44,1.076
0.252361144115,-0.030822183048,6.56,1.004
0.252673631745,0.239037938654,6.3,0.895
0.253791192611,0.688975186027,6.55,1.152
0.254106478347,0.592554718613,5.99,1.0
0.254446634635,0.37357890895,6.47,0.089
0.254487487542,0.119455776807,6.74,1.063
0.254687385357,-1.05934921231,6.23,0.096
0.255328888777,1.15805725646,5.97,-0.008
0.255716838932,-0.512384144746,4.3,-0.154
0.256262923313,-0.198618040166,5.62,0.949
0.256399509838,-0.10267451151,6.57,1.136
0.261049369818,0.113153625592,6.14,1.654
0.26205796744,0.780393306289,5.69,-0.01
0.263954632375,1.40578249605,6.67,0.393
0.264047385857,1.23888685926,6.4,0.135
0.267490940372,-0.679221534334,5.59,1.185
0.268129316684,0.864709763311,6.48,1.099
0.268355463235,1.21053456204,6.67,0.019
0.268648659731,-0.666973608187,6.61,0.905
0.268972907175,-0.283887806661,6.47,1.184
0.269331436192,0.441432494099,6.71,0.783
0.269493051815,1.00909169913,6.77,0.28
0.270658217041,-0.994879369778,6.12,0.935
0.27108204641,0.983120795824,6.71,1.109
0.271868945679,0.890727699253,6.48,0.122
0.272447712117,-0.550686374077,5.5,0.083
0.273645783853,-1.14242449089,6.25,1.634
0.274096367801,0.555089102244,5.5,-0.043
0.274103262249,-0.809785846064,5.39,0.9
0.274472365536,0.721609124961,5.95,0.161
0.274642745124,0.137708841861,4.27,0.952
0.27500010125,0.826869940744,6.46,0.248
0.275073805599,-0.0844146045654,5.4,1.106
0.276176853374,-0.515323262842,6.28,0.932
0.277580557671,1.06595674343,5.92,0.512
0.277582303444,1.02815979708,6.75,1.688
0.277756499258,1.47666860951,6.74,0.246
0.278454780203,0.0238559668815,6.06,0.271
0.279426406087,0.916335570034,5.99,1.447
0.280670923243,1.07477696123,5.83,0.569
0.281261221044,0.517643822427,6.2,0.443
0.28162213571,-0.585258555322,6.44,1.071
0.28190306061,0.697976542218,6.77,0.328
0.282655631256,0.890288625657,6.53,-0.081
0.283080572608,0.0987203891103,6.03,1.525
0.284005466403,0.260859239322,5.64,0.42
0.286298200002,-0.174172037502,6.09,1.012
0.286594218259,0.374777715528,5.33,0.003
0.286649198775,0.37464264622,5.55,-0.048
0.287196038449,0.085667252848,6.35,0.383
0.288347703729,-0.81539013749,3.32,0.885
0.288353704209,-0.171729125139,5.58,0.009
0.288539710458,-0.418747258928,6.12,1.076
0.288793822068,0.561672875829,6.28,1.308
0.289633505082,1.09539288061,6.52,0.214
0.289911535732,-0.622396015856,6.61,0.137
0.289993022643,-0.695623272787,6.64,1.548
0.290424717716,0.226125546311,6.14,0.962
0.291981515188,1.23798647055,6.63,0.164
0.292351975471,0.993702726755,6.41,1.188
0.293029974525,0.933719472162,6.31,1.499
0.293282153834,-0.418815028873,6.36,0.238
0.29369641826,-1.07818219281,5.36,0.884
0.295702933455,-0.170790072264,5.71,0.446
0.295822127163,-0.724083280994,5.21,0.159
0.296499428043,0.361965797837,5.56,0.121
0.296681540775,0.0347851414091,6.44,0.847
0.296765052116,0.766934184732,5.04,0.109
0.296802192622,0.558717065169,6.23,0.398
0.29779075758,0.958540767052,5.17,0.704
0.298294010586,0.172930657429,6.71,1.661
0.298320330575,0.0986079447161,5.51,0.334
0.298383846057,-0.96422041109,3.94,-0.12
0.299139084524,1.0168890214,5.77,-0.019
0.299279571919,-0.177714035124,3.46,1.161
0.299920739119,1.5054702291,4.24,1.213
0.301961947216,1.39646549885,6.24,0.922
0.303260002625,0.824524821676,4.26,0.012
0.303613420171,1.00094626729,6.65,0.439
0.303916280825,0.415287766854,6.65,0.342
0.304261792738,0.621696012069,2.07,1.576
0.304647371741,0.343103946214,5.57,0.697
0.304869431695,0.95537516762,6.75,1.14
0.305968953675,-1.00695756398,6.41,0.888
0.306264613817,0.273561364256,6.07,1.535
0.306301442696,-0.155441382911,6.4,1.029
0.306797457898,0.734460289824,5.67,0.603
0.30684714287,0.444321790589,5.81,1.466
0.30787260536,0.0426849878061,5.97,1.491
0.308289581771,1.20041338627,5.32,-0.014
0.309105447026,1.18298582529,6.55,0.553
0.310236844492,0.962547346574,4.34,0.17
0.310288136936,0.548465114097,5.15,0.261
0.310543516775,0.658410121748,5.8,-0.095
0.310565327201,0.80606027732,6.6,1.6
0.311653292724,1.12054810027,5.56,-0.052
0.311775322267,0.367123899456,4.66,1.024
0.311902855088,0.179627683503,6.49,0.891
0.312677919471,0.525163256539,4.51,1.092
0.312805377746,1.13479307192,5.57,-0.072
0.312959989782,-0.0392887371748,5.93,1.403
0.315363928223,1.39057297971,5.6,0.008
0.315854673624,-0.537598549642,6.54,0.468
0.316387754452,0.0431371844091,6.55,0.454
0.316637296381,0.791289187724,6.13,1.652
0.317462228062,-0.660720194876,5.95,0.281
0.317628024977,-0.118392227044,6.59,0.934
0.318484184176,0.524719787523,6.24,0.98
0.319237755002,1.07697615263,6.4,0.018
0.319699610882,0.595129408257,6.73,-0.144
0.320905542464,0.518995102746,6.74,0.993
0.321713994387,0.132214864533,5.21,0.32
0.321791156186,0.429066736125,4.67,1.047
